RAST_GENE_ID	NCBI_GENE_ID
fiG|1005566.5.peG.1373	ybfO
fiG|1005566.5.peG.1374	ybfC
fiG|1005566.5.peG.1375	ybfQ
fiG|1005566.5.peG.1376	ybfL
fiG|1005566.5.peG.1377	ybfD
fiG|1005566.5.peG.1378	ybgA
fiG|1005566.5.peG.1379	phr
fiG|1005566.5.peG.138	yihD
fiG|1005566.5.peG.1380	ybgH
fiG|1005566.5.peG.1381	ybgI
fiG|1005566.5.peG.1382	ybgJ
fiG|1005566.5.peG.1383	ybgK
fiG|1005566.5.peG.1384	ybgL
fiG|1005566.5.peG.1385	nei
fiG|1005566.5.peG.1386	abrB
fiG|1005566.5.peG.1387	ybgO
fiG|1005566.5.peG.1388	ybgP
fiG|1005566.5.peG.1389	ybgQ
fiG|1005566.5.peG.139	yihE
fiG|1005566.5.peG.1390	ybgD
fiG|1005566.5.peG.1391	gltA
fiG|1005566.5.peG.1392	sdhC
fiG|1005566.5.peG.1393	sdhD
fiG|1005566.5.peG.1394	sdhA
fiG|1005566.5.peG.1395	sdhB
fiG|1005566.5.peG.1396	sucA
fiG|1005566.5.peG.1397	sucB
fiG|1005566.5.peG.1398	sucC
fiG|1005566.5.peG.1399	sucD
fiG|1005566.5.peG.14	cbrC
fiG|1005566.5.peG.140	dsbA
fiG|1005566.5.peG.1400	mngR
fiG|1005566.5.peG.1401	NA
fiG|1005566.5.peG.1402	mngA
fiG|1005566.5.peG.1403	mngB
fiG|1005566.5.peG.1404	NA
fiG|1005566.5.peG.1405	cydA
fiG|1005566.5.peG.1406	cydB
fiG|1005566.5.peG.1407	ybgT
fiG|1005566.5.peG.1408	ybgE
fiG|1005566.5.peG.1409	ybgC
fiG|1005566.5.peG.141	yihF
fiG|1005566.5.peG.1410	tolQ
fiG|1005566.5.peG.1411	tolR
fiG|1005566.5.peG.1412	tolA
fiG|1005566.5.peG.1413	tolB
fiG|1005566.5.peG.1414	pal
fiG|1005566.5.peG.1415	ybgF
fiG|1005566.5.peG.1416	nadA
fiG|1005566.5.peG.1417	pnuC
fiG|1005566.5.peG.1418	zitB
fiG|1005566.5.peG.1419	ybgS
fiG|1005566.5.peG.142	yihG
fiG|1005566.5.peG.1420	aroG
fiG|1005566.5.peG.1421	gpmA
fiG|1005566.5.peG.1422	galM
fiG|1005566.5.peG.1423	galK
fiG|1005566.5.peG.1424	galT
fiG|1005566.5.peG.1425	galE
fiG|1005566.5.peG.1426	modF
fiG|1005566.5.peG.1427	modE
fiG|1005566.5.peG.1428	ybhT
fiG|1005566.5.peG.1429	modA
fiG|1005566.5.peG.143	NA
fiG|1005566.5.peG.1430	modB
fiG|1005566.5.peG.1431	modC
fiG|1005566.5.peG.1432	NA
fiG|1005566.5.peG.1433	ybhE
fiG|1005566.5.peG.1434	ybhD
fiG|1005566.5.peG.1435	ybhH
fiG|1005566.5.peG.1436	ybhI
fiG|1005566.5.peG.1437	ybhJ
fiG|1005566.5.peG.1438	ybhC
fiG|1005566.5.peG.1439	ybhB
fiG|1005566.5.peG.144	polA
fiG|1005566.5.peG.1440	bioA
fiG|1005566.5.peG.1441	bioB
fiG|1005566.5.peG.1442	bioF
fiG|1005566.5.peG.1443	bioC
fiG|1005566.5.peG.1444	bioD
fiG|1005566.5.peG.1445	uvrB
fiG|1005566.5.peG.1446	ybhK
fiG|1005566.5.peG.1447	moaA
fiG|1005566.5.peG.1448	moaB
fiG|1005566.5.peG.1449	moaC
fiG|1005566.5.peG.145	NA
fiG|1005566.5.peG.1450	moaD
fiG|1005566.5.peG.1451	moaE
fiG|1005566.5.peG.1452	ybhL
fiG|1005566.5.peG.1453	ybhM
fiG|1005566.5.peG.1454	ybhN
fiG|1005566.5.peG.1455	ybhO
fiG|1005566.5.peG.1456	ybhP
fiG|1005566.5.peG.1457	ybhQ
fiG|1005566.5.peG.1458	ybhR
fiG|1005566.5.peG.1459	ybhS
fiG|1005566.5.peG.146	yihA
fiG|1005566.5.peG.1460	ybhF
fiG|1005566.5.peG.1461	ybhG
fiG|1005566.5.peG.1462	ybiH
fiG|1005566.5.peG.1463	rhlE
fiG|1005566.5.peG.1464	ybiA
fiG|1005566.5.peG.1465	dinG
fiG|1005566.5.peG.1466	ybiB
fiG|1005566.5.peG.1467	ybiC
fiG|1005566.5.peG.1468	ybiJ
fiG|1005566.5.peG.1469	ybiI
fiG|1005566.5.peG.147	yihI
fiG|1005566.5.peG.1470	ybiX
fiG|1005566.5.peG.1471	fiu
fiG|1005566.5.peG.1472	ybiM
fiG|1005566.5.peG.1473	ybiN
fiG|1005566.5.peG.1474	ybiO
fiG|1005566.5.peG.1475	glnQ
fiG|1005566.5.peG.1476	glnP
fiG|1005566.5.peG.1477	glnH
fiG|1005566.5.peG.1478	dps
fiG|1005566.5.peG.1479	rhtA
fiG|1005566.5.peG.148	NA
fiG|1005566.5.peG.1480	ompX
fiG|1005566.5.peG.1481	ybiP
fiG|1005566.5.peG.1482	NA
fiG|1005566.5.peG.1483	mntR
